
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	won
147	1	0.418260	913431.950700	913431.945600	913856.206000	913856.201700	2	1	0.411701	914857.027400	914857.022800	915272.037500	915272.034300	CCNP001689	1
148	2	0.240533	917775.569500	917775.564500	918024.546500	918024.543100	3	2	0.338921	919025.443300	919025.438900	919367.888800	919367.885500	CCNP001689	0
149	1	0.420462	921871.258900	921871.254200	922304.465800	922304.462500	2	1	0.459233	923305.455900	923305.451000	923768.190800	923768.187600	CCNP001689	0
150	2	0.244206	926271.732000	926271.727000	926528.062800	926528.059400	2	2	0.851603	927528.902900	927528.898100	928383.820100	928383.816400	CCNP001689	0
151	1	0.619873	930887.306100	930887.301100	931520.695300	931520.692000	2	1	0.770864	932521.597400	932521.592300	933296.025400	933296.022100	CCNP001689	0
152	1	0.427213	935800.257100	935800.249700	936232.297700	936232.294200	2	1	1.114286	937233.562300	937233.553700	938352.020800	938352.017500	CCNP001689	0
153	2	0.668890	940855.485100	940855.480100	941536.314500	941536.311000	3	2	1.699231	942537.275000	942537.270100	944239.854700	944239.851500	CCNP001689	0
154	2	0.553983	946743.090800	946743.085800	947304.491600	947304.488200	3	1	1.170552	948305.402100	948305.397400	949479.741100	949479.737400	CCNP001689	1
155	2	0.485621	951983.580000	951983.573400	952472.652800	952472.649600	3	2	2.379469	953473.592100	953473.587700	955856.472000	955856.468400	CCNP001689	0
156	2	0.264913	958359.850700	958359.845200	958632.108000	958632.104900	2	2	1.259790	959633.091200	959633.072700	960896.315000	960896.311600	CCNP001689	0
157	2	0.436985	963400.045900	963400.036800	963840.563600	963840.560300	3	2	0.914700	964841.690700	964841.685200	965760.033400	965760.030300	CCNP001689	0
158	2	1.258897	968263.537400	968263.532600	969528.348600	969528.344400	3	2	0.810664	970529.245100	970529.240600	971343.803200	971343.799700	CCNP001689	0
159	1	0.466314	973847.928800	973847.923700	974320.508100	974320.504800	2	1	0.434537	975321.375500	975321.370600	975760.357100	975760.353000	CCNP001689	1
160	1	0.339348	978263.803500	978263.798600	978608.235500	978608.232500	2	1	0.508024	979609.078700	979609.073900	980120.265900	980120.262700	CCNP001689	0
161	1	0.158098	982623.683300	982623.678500	982791.977200	982791.974000	2	2	0.444301	983792.928400	983792.923200	984240.533500	984240.530100	CCNP001689	0
162	1	0.353390	986743.792900	986743.787000	987104.138100	987104.135000	2	1	0.522818	988105.037800	988105.033100	988631.939400	988631.935300	CCNP001689	0
163	1	0.489420	991135.532600	991135.527600	991640.178400	991640.175200	2	1	0.339415	992641.092900	992641.087800	992983.893100	992983.889800	CCNP001689	1
164	1	0.330609	995487.310900	995487.306100	995831.967600	995831.964200	3	1	0.355843	996832.839900	996832.835200	997192.535700	997192.532400	CCNP001689	0
165	2	0.282758	999695.944900	999695.939900	999983.839000	999983.835300	2	1	0.411955	1000984.705000	1000984.700600	1001400.161700	1001400.158200	CCNP001689	0
166	2	0.370831	1003903.759600	1003903.752400	1004288.200000	1004288.196800	3	2	0.699589	1005289.010100	1005289.005000	1005992.179300	1005992.176200	CCNP001689	0
167	2	0.811519	1008495.537800	1008495.532500	1009312.143600	1009312.140400	3	2	0.539928	1010312.989900	1010312.985200	1010856.370700	1010856.367200	CCNP001689	0
168	2	0.696752	1013359.935000	1013359.929800	1014064.054400	1014064.051300	3	2	0.555470	1015065.001300	1015064.994900	1015624.044400	1015624.040900	CCNP001689	0
169	1	0.418385	1018128.160700	1018128.155700	1018552.493800	1018552.490700	3	1	0.779697	1019553.381500	1019553.377200	1020336.650700	1020336.647200	CCNP001689	1
